--------------------------------------------------
dataset: peptides-func
debug: False
depth: -1
device: 0
expname: peptides-func-paper
logfile: None
metis:
  n_patches: 32
model:
  gnn_type: GINEConv
  hidden_size: 96
  name: GraphMLPMixer
  nlayer_gnn: 4
  nlayer_hierattn: 4
  pool: mean
  residual: True
  use_patch_pe: True
num_workers: 8
pos_enc:
  lap_dim: 0
  rw_dim: 16
seed: [25, 32, 65, 58]
train:
  batch_size: 128
  dropout: 0.0
  epochs: 200
  lr: 0.001
  lr_decay: 0.5
  lr_patience: 20
  min_lr: 1e-05
  mlpmixer_dropout: 0.0
  optimizer: Adam
  runs: 100
  wd: 0.0
--------------------------------------------------
Time: 2023/04/25 - 03:07

----------SEED ---------: 25


Number of parameters: 346206
Epoch: 000, Train perf: 0.2950, Train Loss: 0.3966, Val: 0.3192, Test: 0.3191, Seconds: 12.4889
Epoch: 001, Train perf: 0.4069, Train Loss: 0.2868, Val: 0.3843, Test: 0.3724, Seconds: 11.4173
Epoch: 002, Train perf: 0.4447, Train Loss: 0.2707, Val: 0.4572, Test: 0.4314, Seconds: 11.4442
Epoch: 003, Train perf: 0.4647, Train Loss: 0.2626, Val: 0.4735, Test: 0.4469, Seconds: 11.4235
Epoch: 004, Train perf: 0.4830, Train Loss: 0.2550, Val: 0.4743, Test: 0.4487, Seconds: 11.3390
Epoch: 005, Train perf: 0.4944, Train Loss: 0.2503, Val: 0.4359, Test: 0.4487, Seconds: 10.1972
Epoch: 006, Train perf: 0.5106, Train Loss: 0.2470, Val: 0.4287, Test: 0.4487, Seconds: 10.2401
Epoch: 007, Train perf: 0.5168, Train Loss: 0.2432, Val: 0.4416, Test: 0.4487, Seconds: 10.1335
Epoch: 008, Train perf: 0.5247, Train Loss: 0.2403, Val: 0.4685, Test: 0.4487, Seconds: 10.1488
Epoch: 009, Train perf: 0.5352, Train Loss: 0.2358, Val: 0.4704, Test: 0.4487, Seconds: 10.6632
Epoch: 010, Train perf: 0.5388, Train Loss: 0.2359, Val: 0.4647, Test: 0.4487, Seconds: 10.5406
Epoch: 011, Train perf: 0.5428, Train Loss: 0.2321, Val: 0.4681, Test: 0.4487, Seconds: 10.5402
Epoch: 012, Train perf: 0.5562, Train Loss: 0.2295, Val: 0.4385, Test: 0.4487, Seconds: 10.5334
Epoch: 013, Train perf: 0.5625, Train Loss: 0.2265, Val: 0.5341, Test: 0.5204, Seconds: 12.3488
Epoch: 014, Train perf: 0.5636, Train Loss: 0.2255, Val: 0.4712, Test: 0.5204, Seconds: 10.6581
Epoch: 015, Train perf: 0.5702, Train Loss: 0.2232, Val: 0.4715, Test: 0.5204, Seconds: 10.4656
Epoch: 016, Train perf: 0.5834, Train Loss: 0.2201, Val: 0.5445, Test: 0.5279, Seconds: 12.1697
