--------------------------------------------------
dataset: peptides-struct
debug: False
depth: -1
device: 0
expname: peptides-struct-lap-paper
logfile: None
metis:
  n_patches: 32
model:
  gnn_type: GINEConv
  hidden_size: 96
  name: GraphMLPMixer
  nlayer_gnn: 4
  nlayer_hierattn: 4
  pool: mean
  residual: True
  use_patch_pe: True
num_workers: 8
pos_enc:
  lap_dim: 16
  rw_dim: 0
seed: [1, 2, 4, 8]
train:
  batch_size: 128
  dropout: 0.0
  epochs: 200
  lr: 0.001
  lr_decay: 0.5
  lr_patience: 20
  min_lr: 1e-05
  mlpmixer_dropout: 0.0
  optimizer: Adam
  runs: 100
  wd: 0.0
--------------------------------------------------
Time: 2023/04/25 - 03:18

----------SEED ---------: 1


Number of parameters: 346305
Epoch: 000, Train perf: 0.3552, Train Loss: 0.3552, Val: -0.3199, Test: -0.3234, Seconds: 10.0776
Epoch: 001, Train perf: 0.3210, Train Loss: 0.3210, Val: -0.2963, Test: -0.3055, Seconds: 9.5348
Epoch: 002, Train perf: 0.3116, Train Loss: 0.3116, Val: -0.2854, Test: -0.2909, Seconds: 9.2187
Epoch: 003, Train perf: 0.3123, Train Loss: 0.3123, Val: -0.2833, Test: -0.2901, Seconds: 9.2892
Epoch: 004, Train perf: 0.3076, Train Loss: 0.3076, Val: -0.2808, Test: -0.2881, Seconds: 9.5198
Epoch: 005, Train perf: 0.3074, Train Loss: 0.3074, Val: -0.2855, Test: -0.2881, Seconds: 8.4899
Epoch: 006, Train perf: 0.3016, Train Loss: 0.3016, Val: -0.2776, Test: -0.2841, Seconds: 9.5037
Epoch: 007, Train perf: 0.3022, Train Loss: 0.3022, Val: -0.2767, Test: -0.2829, Seconds: 9.8458
Epoch: 008, Train perf: 0.2981, Train Loss: 0.2981, Val: -0.2791, Test: -0.2829, Seconds: 8.1926
Epoch: 009, Train perf: 0.2976, Train Loss: 0.2976, Val: -0.2804, Test: -0.2829, Seconds: 8.2323
Epoch: 010, Train perf: 0.3000, Train Loss: 0.3000, Val: -0.2864, Test: -0.2829, Seconds: 8.1539
Epoch: 011, Train perf: 0.2956, Train Loss: 0.2956, Val: -0.2737, Test: -0.2836, Seconds: 9.2076
Epoch: 012, Train perf: 0.2937, Train Loss: 0.2937, Val: -0.2732, Test: -0.2776, Seconds: 9.3553
Epoch: 013, Train perf: 0.2924, Train Loss: 0.2924, Val: -0.2924, Test: -0.2776, Seconds: 9.2559
Epoch: 014, Train perf: 0.2924, Train Loss: 0.2924, Val: -0.2719, Test: -0.2800, Seconds: 9.8265
Epoch: 015, Train perf: 0.2903, Train Loss: 0.2903, Val: -0.2816, Test: -0.2800, Seconds: 8.4296
Epoch: 016, Train perf: 0.2928, Train Loss: 0.2928, Val: -0.2789, Test: -0.2800, Seconds: 8.3552
Epoch: 017, Train perf: 0.2932, Train Loss: 0.2932, Val: -0.2792, Test: -0.2800, Seconds: 8.4316
Epoch: 018, Train perf: 0.2907, Train Loss: 0.2907, Val: -0.2698, Test: -0.2766, Seconds: 9.4548
Epoch: 019, Train perf: 0.2881, Train Loss: 0.2881, Val: -0.2757, Test: -0.2766, Seconds: 8.5081
Epoch: 020, Train perf: 0.2858, Train Loss: 0.2858, Val: -0.2694, Test: -0.2762, Seconds: 10.0623
Epoch: 021, Train perf: 0.2881, Train Loss: 0.2881, Val: -0.2652, Test: -0.2728, Seconds: 9.8383
Epoch: 022, Train perf: 0.2897, Train Loss: 0.2897, Val: -0.2755, Test: -0.2728, Seconds: 8.1714
Epoch: 023, Train perf: 0.2843, Train Loss: 0.2843, Val: -0.2686, Test: -0.2728, Seconds: 8.2967
Epoch: 024, Train perf: 0.2841, Train Loss: 0.2841, Val: -0.2708, Test: -0.2728, Seconds: 8.2625
Epoch: 025, Train perf: 0.2878, Train Loss: 0.2878, Val: -0.2667, Test: -0.2728, Seconds: 8.2273
Epoch: 026, Train perf: 0.2809, Train Loss: 0.2809, Val: -0.2671, Test: -0.2728, Seconds: 8.3396
Epoch: 027, Train perf: 0.2807, Train Loss: 0.2807, Val: -0.2639, Test: -0.2668, Seconds: 9.5830
Epoch: 028, Train perf: 0.2817, Train Loss: 0.2817, Val: -0.2655, Test: -0.2668, Seconds: 8.1857
Epoch: 029, Train perf: 0.2800, Train Loss: 0.2800, Val: -0.2618, Test: -0.2657, Seconds: 9.3268
Epoch: 030, Train perf: 0.2826, Train Loss: 0.2826, Val: -0.2644, Test: -0.2657, Seconds: 8.2533
Epoch: 031, Train perf: 0.2802, Train Loss: 0.2802, Val: -0.2657, Test: -0.2657, Seconds: 8.2200
Epoch: 032, Train perf: 0.2784, Train Loss: 0.2784, Val: -0.2587, Test: -0.2634, Seconds: 9.6367
Epoch: 033, Train perf: 0.2788, Train Loss: 0.2788, Val: -0.2617, Test: -0.2634, Seconds: 8.3758
